"",Title,Year,Released,Runtime,Genre,Director,Ratings,imdbRating
72,Prince of Space,1959,N/A,121 min,"Action, Adventure, Sci-Fi",Eijirô Wakabayashi,2.2/10,2.2
73,Simon Sez,1999,24 Sep 1999,85 min,"Action, Comedy",Kevin Alyn Elders,2.5/10,2.5
74,Santa Claus Conquers the Martians,1964,14 Nov 1964,81 min,"Adventure, Comedy, Family",Nicholas Webster,2.5/10,2.5
75,Tees Maar Khan,2010,14 Nov 2010,135 min,"Comedy, Crime",Farah Khan,2.5/10,2.5
76,Breaking Wind,2012,13 Jan 2012,82 min,Comedy,Craig Moss,2.4/10,2.4
77,Santa with Muscles,1996,08 Nov 1996,97 min,Comedy,John Murlowski,2.4/10,2.4
78,Zombie Nightmare,1987,07 Mar 1988,89 min,"Fantasy, Horror",Jack Bravman,2.3/10,2.3
79,Boggy Creek II: And the Legend Continues,1984,01 Dec 1985,91 min,"Adventure, Drama, Horror",Charles B. Pierce,2.3/10,2.3
80,A Story About Love,1995,17 Feb 1995,70 min,Romance,Aune Sand,2.3/10,2.3
81,Fat Slags,2004,15 Oct 2004,75 min,Comedy,Ed Bye,2.6/10,2.6
82,"Car 54, Where Are You?",1994,28 Jan 1994,89 min,Comedy,Bill Fishman,2.4/10,2.4
83,Dragonball: Evolution,2009,10 Apr 2009,85 min,"Action, Adventure, Fantasy",James Wong,2.7/10,2.7
84,The Aztec Mummy Against the Humanoid Robot,1958,N/A,65 min,"Adventure, Horror, Sci-Fi",Rafael Portillo,2.2/10,2.2
85,Body in the Web,1960,01 Mar 1962,77 min,Horror,Fritz Böttger,2.4/10,2.4
86,Mitchell,1975,10 Sep 1975,97 min,"Action, Crime, Drama",Andrew V. McLaglen,2.4/10,2.4
87,Theodore Rex,1995,14 Dec 1995,92 min,"Action, Comedy, Family",Jonathan R. Betuel,2.4/10,2.4
88,Santa Claus,1959,01 Oct 1960,94 min,"Comedy, Family, Fantasy",René Cardona,2.5/10,2.5
89,Laserblast,1978,01 Mar 1978,85 min,"Horror, Sci-Fi",Michael Rae,2.5/10,2.5
90,Ed,1996,15 Mar 1996,94 min,"Comedy, Family, Sport",Bill Couturié,2.6/10,2.6
91,Survival Island,2002,14 Jun 2002,85 min,"Horror, Thriller","David Hillenbrand, Scott Hillenbrand",2.4/10,2.4
92,Time Chasers,1994,17 Mar 1994,89 min,Sci-Fi,David Giancola,2.3/10,2.3
93,Devil Fish,1984,14 Nov 1986,90 min,"Action, Horror, Thriller",Lamberto Bava,2.4/10,2.4
94,Meet the Spartans,2008,25 Jan 2008,86 min,Comedy,"Jason Friedberg, Aaron Seltzer",2.7/10,2.7
95,It's Pat: The Movie,1994,26 Aug 1994,77 min,Comedy,Adam Bernstein,2.6/10,2.6
96,I Accuse My Parents,1944,04 Nov 1944,68 min,"Crime, Drama",Sam Newfield,2.3/10,2.3
97,The Bat People,1974,30 Jan 1974,91 min,"Horror, Romance",Jerry Jameson,2.2/10,2.2
98,Danes Without a Clue,1997,11 Jul 1997,79 min,Comedy,Kasper Wedendahl,2.2/10,2.2
99,Ghosts Can't Do It,1989,01 Jun 1990,90 min,"Comedy, Crime, Fantasy",John Derek,2.3/10,2.3
100,Warrior of the Lost World,1983,01 Sep 1985,92 min,"Sci-Fi, Action",David Worth,2.3/10,2.3
